Nombre Tabla|Tipo|Campos|Descripcion|Resultado|Estado de Migracion|Notas
eComerceExportaArt|PERMANENTE (Intelisis)|Created_date; sku; attribute_set_code; product_type; categories; product_websites; name; description; weight; product_online; tax_class_name; visibility; price; special_price; special_price_from_date; special_price_to_date; price_installments; price_twelve; price_eighteen; url_key; base_image; small_image; thumbnail_image; additional_attributes; qty; configurable_variations; bundle_price_type; bundle_sku_type; bundle_price_view; bundle_weight_type; bundle_values; bundle_shipment_type; meta_title; meta_keywords; meta_description; oferta; ahorro_cotorro; exclusivo_online; descuento; related_skus; crosssell_skus; upsell_skus; Ultimo_Cambio; referencia_hijo; position; PrecioVisible|Tabla principal de exportacion de articulos para eCommerce. Almacena todos los articulos (simples y configurables) con su informacion completa para generacion del CSV de Magento. product_websites=muebles_america para MA.|Destino final de todo el proceso. Se actualiza con precios; se desactivan excluidos; se insertan nuevos; se actualizan configurables; se actualiza posicion. El SELECT final genera el CSV de salida.|Parcialmente migrado|El volcado final omite configurables
eComerceMarketing|PERMANENTE (Intelisis)|Articulo; TipoRelacion; Relacionados; UEN|Tabla de relaciones de marketing entre articulos. TipoRelacion: Upsale o Related. Relacionados: SKUs concatenados separados por coma. UEN=1 para MA.|Se borra y recrea en cada ejecucion (DELETE + INSERT). Se usa para actualizar upsell_skus; related_skus y crosssell_skus en eComerceExportaArt.|Migrado|Tabla permanente mapeada en contexto
Art|PERMANENTE (Intelisis)|Articulo; Descripcion1; NombreCorto; Nombrelargoe; Familia; Linea; MarcaE; Estatus; Volumetrico; Tipo; MetaPalabras1E; MetaDescripcion1E; Categoria; Grupo; Fabricante; LineaE; ModeloE; Alta; IncluyeVineta|Catalogo maestro de articulos de Intelisis.|Fuente principal de datos de articulos. Se consulta multiples veces a lo largo del SP.|Migrado|Tabla permanente mapeada en contexto
ArtLinea|PERMANENTE (Intelisis)|Linea; ID; ArtTipoDecoracionMavi|Catalogo de lineas de articulos.|Se usa para filtrar por ID de linea especifico (625-630 para regla 2) y para ArtTipoDecoracionMavi (decoracion mavi 0 o 1).|Migrado|Tabla permanente mapeada en contexto
ArtFam|PERMANENTE (Intelisis)|Familia; ClaveMES|Catalogo de familias de articulos.|Se usa para filtrar por ClaveMES (52 para muebles; 18;73;74;75;93 para celulares).|Migrado|Tabla permanente mapeada en contexto
ArtDisponible|PERMANENTE (Intelisis)|Articulo; Disponible; Almacen|Disponibilidad de articulos por almacen.|Fuente de datos de existencia. Se consulta para llenar todas las tablas #DisponiblePorAlmacen*.|Migrado|Tabla permanente mapeada en contexto
sip_productos|PERMANENTE (Intelisis)|Articulo; Estatus_propiedad; estatus_fotografia; Solo_SELP|Productos del SIP (Sistema de Informacion de Productos).|Filtro inicial: solo articulos con propiedad=concluido; fotografia=CONCLUIDO y Solo_SELP=0.|Migrado|Tabla permanente mapeada en contexto
sip_excluir_productos|PERMANENTE (Intelisis)|Excluir; Tipoexclusion (CODIGO/MARCA/INICIALES); MA|Productos excluidos del eCommerce.|Excluye articulos por codigo exacto; marca o iniciales del codigo. MA=1 para Muebles America.|Migrado|Tabla permanente mapeada en contexto
excluir_familia_linea|PERMANENTE (Intelisis)|Familia; Linea; MA|Familias-lineas excluidas del eCommerce.|Excluye familias-lineas completas. MA=1 para Muebles America.|Migrado|Tabla permanente mapeada en contexto
eCommerceExist|PERMANENTE (Intelisis)|articulo; existencia; existencia96Tot; Sucs_local_1_exist; Sucs_local_2_exist; Sucs_local_3_exist|Existencias calculadas para eCommerce.|Existencia total y por tipo de sucursal. Se usa en reglas de existencia de #articulos y #exc_conexist.|Migrado|Tabla permanente mapeada en contexto
PropreListaDFinal|PERMANENTE (Intelisis)|articulo; Precio; PrecioRef; Condicion; Sucursal; UEN; Oferta; SuperPromo; lista|Precios finales por condicion de venta.|Fuente de precios de contado; credito; oferta. Se consulta multiples veces con diferentes condiciones.|Migrado|Tabla permanente mapeada en contexto
Condicion|PERMANENTE (Intelisis)|PROPREGrupo; TipoCondicion; Condicion|Catalogo de condiciones de precio.|Filtra condiciones de tipo Contado con Condicion=CONTADO MA.|Migrado|Tabla permanente mapeada en contexto
VTASCCondicionesCredVtaLinea|PERMANENTE (Intelisis)|CondicionPropre; Mensualidades; TiendaVirtual|Condiciones de credito para venta en linea.|Regla 1393: valida que el articulo tenga precio de credito INM 12M para Muebles America.|Migrado|Tabla permanente mapeada en contexto
VTASCReglasEcommerce|PERMANENTE (Intelisis)|IdReglasEcommerce; AlmacenesPrincipales; AlmacenesSecundarios; AlmacenesSecundariosDos; AlmacenRespaldo; ArtPorAlmacenPrincipal; ArtPorAlmacenSecundario; ArtPorAlmacenSecundarioDos; ArtPorAlmacenRespaldo|Parametros de reglas de existencia para eCommerce.|Define los umbrales de existencia por regla (1-7). Cada regla se aplica a un tipo de articulo diferente.|Migrado|Tabla permanente mapeada en contexto
TablaStd|PERMANENTE (Intelisis)|TablaSt; Nombre; Valor|Tabla estandar de configuracion de Intelisis.|Se usa para: almacenes principales (DM0285AlmacenPrincipal); secundarios (DM0285AlmacenesSecundarios); respaldo (DM0285AlmacenRespaldo); propiedad para nombre configurable (PropiedadParaNombreConfigurable).|Migrado|Tabla permanente mapeada en contexto
items_propiedad|PERMANENTE (Intelisis)|Articulo; Id_fam_prop; Valor_posible; valor|Propiedades de articulos del SIP.|Fuente de propiedades por articulo. Se consulta para IE/MAYORISTA/OUTLET y para propiedades de Magento.|Migrado|Tabla permanente mapeada en contexto
familia_propiedad|PERMANENTE (Intelisis)|Id; Propiedad; Familia_Intelisis; Linea_Intelisis; familia_intelisis; linea_intelisis; Estatus; ocultar; Imprime_Etiqueta; Abierto|Propiedades por familia-linea del SIP.|Mapeo de propiedades a familias-lineas. Se usa junto con catalogo_propiedad.|Migrado|Tabla permanente mapeada en contexto
catalogo_propiedad|PERMANENTE (Intelisis)|Id; Propiedad; AtributoMagento|Catalogo de propiedades del SIP.|Define el mapeo propiedad SIP -> AtributoMagento. Se usa para filtrar propiedades relevantes.|Migrado|Tabla permanente mapeada en contexto
catalogo_valores_posibles|PERMANENTE (Intelisis)|Id; Valor|Valores posibles de propiedades.|Valores predefinidos para las propiedades. Se usa para IE=ELITE ESPECIAL; MAYORISTA!=0; OUTLET=SI.|Migrado|Tabla permanente mapeada en contexto
eCommerceSetPropiedades|PERMANENTE (Intelisis)|IdFamPropiedad; Familia; Linea; UEN; NombreSet|Conjuntos de propiedades para eCommerce.|Define el NombreSet (attribute_set_code) por familia-linea-UEN. UEN IN (MA; todas).|Migrado|Tabla permanente mapeada en contexto
eCommercePorcSobrePrecio|PERMANENTE (Intelisis)|Tipo; Familia; Porcentaje; uen; Tipoporc; Fechainicio; FechaFin; HoraInicio; HoraFin|Porcentajes sobre precio para eCommerce.|Porcentajes NORMAL y PROGRAMADO para calcular precios de referencia.|Migrado|Tabla permanente mapeada en contexto
eCommerceRelCatMagentoIntelisis|PERMANENTE (Intelisis)|FamIntelisis; LinIntelisis; LinVirtual; ruta; UEN; PNM; SNM; TNM|Relacion categorias Magento - Intelisis.|Mapeo familia+linea de Intelisis a rutas de categorias de Magento.|Migrado|Tabla permanente mapeada en contexto
eCommerceIntNivelVirtual|PERMANENTE (Intelisis)|NivelVirtual|Niveles virtuales de eCommerce.|Identifica lineas que tienen sublineas virtuales.|Migrado|Tabla permanente mapeada en contexto
ecommercefamilialineaesp|PERMANENTE (Intelisis)|Familia; Linea; uen|Familias-lineas con reglas especiales de existencia.|Define excepciones a las reglas de existencia generales.|Migrado|Tabla permanente mapeada en contexto
ecommerceactualizarimagenes|PERMANENTE (Intelisis)|Articulo; Imagen; estatus|Imagenes de articulos para eCommerce.|Verifica que el articulo tenga imagen optimizada no eliminada.|Migrado|Tabla permanente mapeada en contexto
SCM_Art_imagen|PERMANENTE (Intelisis)|Imagen; Valor; Orden|Imagenes de articulos con orden de prioridad.|Filtra por Orden=1 (imagen principal). Se cruza con ecommerceactualizarimagenes.|Migrado|Tabla permanente mapeada en contexto
TcWDM0285_AtributosdeMagento|PERMANENTE (Intelisis)|NombreSEt; Atributo; ValordeLista|Atributos de Magento configurados.|Valida que las propiedades sean atributos validos del set de Magento.|Migrado|Tabla permanente mapeada en contexto
TcWDM0285_AtribMgtoValorLista|PERMANENTE (Intelisis)|Atributo; Valor|Valores de lista de atributos de Magento.|Valida que los valores de propiedades existan en la lista de valores de Magento.|Migrado|Tabla permanente mapeada en contexto
Familias_validas_tdavirtual|PERMANENTE (Intelisis)|Familia; pagina|Familias validas para tienda virtual.|Filtra solo familias habilitadas para MUEBLES AMERICA.|Migrado|Tabla permanente mapeada en contexto
PlaneadorMacroMAVIJOB|PERMANENTE (Intelisis)|Codigo; PrecioMapCIva; Estatus; BackOrder|Planeador macro de MAVI.|PrecioMapCIva para precios de referencia. BackOrder para mostrar articulos agotados con backorder.|Migrado|Tabla permanente mapeada en contexto
VTASCProductoControl|PERMANENTE (Intelisis)|Articulo|Productos de alto riesgo.|Marca articulos como product_control=true.|Migrado|Tabla permanente mapeada en contexto
VTASCCategoriasControl|PERMANENTE (Intelisis)|Categoria; Precio; nivel|Categorias con control de precio.|Define umbral de precio por categoria para category_control.|Migrado|Tabla permanente mapeada en contexto
eCommerceCatMagento|PERMANENTE (Intelisis)|Id; Categoria|Catalogo de categorias de Magento.|Mapeo ID -> Categoria de Magento.|Migrado|Tabla permanente mapeada en contexto
eCommerceLineasRelacion|PERMANENTE (Intelisis)|Familia; Linea; FamiliaRelacionada; LineaRelacionada; Cantidad|Relaciones entre familias-lineas para cross-sell.|Define que familias-lineas son cross-sell de otras.|Migrado|Tabla permanente mapeada en contexto
Prop|PERMANENTE (Intelisis)|Cuenta; Tipo; Propiedad|Propiedades generales de articulos.|Se usa para SUBLINEA (operadora; nivel virtual) y region (R6).|Migrado|Tabla permanente mapeada en contexto
ArtJuego|PERMANENTE (Intelisis)|Articulo; Juego|Articulos tipo juego/paquete.|Relaciona articulos padre-juego.|Migrado|Tabla permanente mapeada en contexto
ArtJuegoD|PERMANENTE (Intelisis)|Articulo; Juego; Opcion|Detalle de juegos/paquetes.|Detalle de los componentes del juego.|Migrado|Tabla permanente mapeada en contexto
VTASRConfigurablesFamLineaProp|PERMANENTE (Intelisis)|Familia; Linea; Fabricante; Modelo; ArticuloPadre; Activo|Configuracion de productos configurables.|Define la agrupacion: que familia+linea+fabricante+modelo forman un grupo configurable y su ArticuloPadre.|Migrado|Tabla permanente mapeada en contexto
VTASRAgrupaFamLineaProp|PERMANENTE (Intelisis)|Familia; Linea; Activo; IDAgrupaFamLineaprop|Agrupacion por familia-linea para propiedades configurables.|Define que familias-lineas tienen propiedades configurables.|Migrado|Tabla permanente mapeada en contexto
VTASDAgrupaFamLineaPropConf|PERMANENTE (Intelisis)|IDAgrupaFamLineaprop; PropiedadSip|Detalle de propiedades configurables por agrupacion.|Define que propiedades del SIP son configurables (ej: color; talla).|Migrado|Tabla permanente mapeada en contexto
COMSCListaPrioridadEcommerce|PERMANENTE (Intelisis)|IdListaPrioridadEcommerce; FechaInicio; FechaFin; UEN|Listas de prioridad para ordenamiento eCommerce.|Define periodos de vigencia de listas de prioridad por UEN.|Migrado|Tabla permanente mapeada en contexto
COMSDListaPrioridad|PERMANENTE (Intelisis)|IdListaPrioridadEcommerce; Familia; Linea; Codigo; Orden|Detalle de listas de prioridad.|Articulos especificos con su orden de prioridad dentro de familia-linea.|Migrado|Tabla permanente mapeada en contexto
TcWDM0285_ECommerceTemporada|PERMANENTE (Intelisis)|ID; uen; FECHAINICIO; FECHAFIN|Temporadas de eCommerce.|Determina si es temporada especial o normal para el ordenamiento.|Migrado|Tabla permanente mapeada en contexto
COMSCSIPCategorias|PERMANENTE (Intelisis)|IdSIPCategorias; Categoria|Categorias del SIP para carruseles.|Catalogo de categorias para asignar a carruseles.|Migrado|Tabla permanente mapeada en contexto
COMSDSIPCarrusel|PERMANENTE (Intelisis)|Articulo; IdCategoria; UEN|Detalle de carruseles.|Asigna articulos a categorias de carrusel por UEN.|Migrado|Tabla permanente mapeada en contexto
Venta|PERMANENTE (Intelisis)|ID; UEN; Mov; FechaEmision; Estatus|Encabezado de ventas.|Se usa para el Top 10 de articulos mas vendidos (FACTURA; CONCLUIDO; ultimos 30 dias; UEN=1).|Migrado|Tabla permanente mapeada en contexto
VentaD|PERMANENTE (Intelisis)|ID; Articulo; Cantidad|Detalle de ventas.|Detalle de articulos vendidos para el Top 10.|Migrado|Tabla permanente mapeada en contexto
VTASCPlantillaHTMLSEO|PERMANENTE (Intelisis)|Html|Plantilla HTML para SEO.|Se aplica a la descripcion cuando IncluyeVineta=1 en Art. Reemplaza 'description' y 'ARTICULO' en el template.|Migrado|Tabla permanente mapeada en contexto
Familias_validas_tdavirtual|PERMANENTE (Intelisis)|Familia; pagina|Familias validas para tienda virtual.|Filtra solo familias habilitadas para pagina=MUEBLES AMERICA.|Migrado|Tabla permanente mapeada en contexto
=== SECCION: Analisis_SP_eCommerceexportaMAVI_Tablas ===||||
#temp_eComerceExportaArt|TEMPORAL (CREATE TABLE)|Created_date DATETIME; sku VARCHAR(25); attribute_set_code VARCHAR(100); product_type VARCHAR(20); categories VARCHAR(max); product_websites VARCHAR(20); name VARCHAR(max); description VARCHAR(max); weight FLOAT; product_online INT; tax_class_name VARCHAR(10); visibility VARCHAR(30); price MONEY; special_price MONEY; special_price_from_date DATETIME; special_price_to_date DATETIME; price_installments MONEY; price_twelve MONEY; price_eighteen MONEY; url_key VARCHAR(300); base_image VARCHAR(300); small_image VARCHAR(300); thumbnail_image VARCHAR(300); additional_attributes VARCHAR(max); qty INT; configurable_variations VARCHAR(100); bundle_price_type VARCHAR(20); bundle_sku_type VARCHAR(20); bundle_price_view VARCHAR(20); bundle_weight_type VARCHAR(20); bundle_values VARCHAR(max); bundle_shipment_type VARCHAR(20); meta_title VARCHAR(500); meta_keywords VARCHAR(500); meta_description VARCHAR(500); oferta INT; ahorro_cotorro INT; exclusivo_online INT; descuento INT; related_skus VARCHAR(250); crosssell_skus VARCHAR(250); upsell_skus VARCHAR(250)|Tabla temporal principal que almacena los articulos procesados para Magento (MAVI).|Contiene los articulos simples listos para exportar.|Parcialmente migrado|Logica base existe pero fuertemente acoplada a MA (UEN=1, Suc 90/0, ACEF)
art|TABLA PERMANENTE|Articulo; NombreCorto; Descripcion1; Volumen; Peso; Tipo; Categoria; Familia; Linea|Tabla maestra de articulos.|Mercancia inicial para MAVI.|Migrado|Tabla permanente consultada por cache
sip_excluir_productos|TABLA PERMANENTE|IdExcluirProducto; TipoExclusion; MAVI|Tabla que marca que articulos excluir. Se usa el filtro MAVI = 1.|Filtra basura para MAVI.|Migrado|Tabla permanente consultada por cache
sip_productos|TABLA PERMANENTE|Articulo; MAVITV; EstatusPropiedad; EstatusFotografia; SoloSELP|Controla si el articulo ya fue fotografiado y si puede ir a MAVI.|Filtro de calidad.|Migrado|Tabla permanente consultada por cache
excluir_familia_linea|TABLA PERMANENTE|Familia; Linea; MAVI|Tabla para bloquear lineas completas de productos para MAVI.|Excluye categorias completas.|Migrado|Tabla permanente consultada por cache
eCommerceExist|TABLA PERMANENTE|Articulo; Existencia; Almacen|Contiene existencias sincronizadas de Ecommerce.|Base de inventario.|Migrado|Tabla permanente consultada por cache
ArtLinea|TABLA PERMANENTE|Linea; Descripcion|Catalogo de lineas de productos.|Nombres de linea.|Migrado|Tabla permanente consultada por cache
#Listadoarticulos|TEMPORAL (SELECT INTO)|Articulo; Nombrecorto; Nombrelargoe; Familia; Linea; Marcae; Estatus; existencia; preciocont (Precio); Preciocred; Descripcion1; Volumetrico; rtipo (Tipo); MetaPalabras1E; MetaDescripcion1E; list3|Listado base de articulos elegibles para MAVI.|Universo completo de articulos candidatos.|Parcialmente migrado|Logica base existe pero fuertemente acoplada a MA (UEN=1, Suc 90/0, ACEF)
#articulosIEMay|TEMPORAL (SELECT INTO)|Articulo; familia_intelisis; linea_intelisis; IE; May|Identifica articulos con propiedades especiales para MAVI.|Marca articulos especiales.|Parcialmente migrado|Logica base existe pero fuertemente acoplada a MA (UEN=1, Suc 90/0, ACEF)
TablaStd|TABLA PERMANENTE|TablaSt; Nombre; Valor|Parametros del sistema (Ej. DM0285AlmacenPrincipal).|Parametriza almacenes para MAVI.|Migrado|Tabla permanente consultada por cache
#AlmacenesPrincipales|TEMPORAL (CREATE TABLE)|Almacen VARCHAR(10); Cantidad INT; Almacenes INT|Almacenes principales configurados en TablaStd.|Parametriza los almacenes principales.|Parcialmente migrado|Logica base existe pero fuertemente acoplada a MA (UEN=1, Suc 90/0, ACEF)
#AlmacenesSecundarios|TEMPORAL (CREATE TABLE)|Almacen VARCHAR(10); Cantidad INT; Almacenes INT|Almacenes secundarios configurados en TablaStd.|Parametriza almacenes secundarios.|Parcialmente migrado|Logica base existe pero fuertemente acoplada a MA (UEN=1, Suc 90/0, ACEF)
#AlmacenesRespaldo|TEMPORAL (CREATE TABLE)|Almacen VARCHAR(10); Cantidad INT; Almacenes INT|Almacenes de respaldo.|Parametriza el respaldo de inventario.|Parcialmente migrado|Logica base existe pero fuertemente acoplada a MA (UEN=1, Suc 90/0, ACEF)
VTASCReglasEcommerce|TABLA PERMANENTE|IdReglasEcommerce; AlmacenesPrincipales; AlmacenesSecundarios; AlmacenRespaldo; ArtPorAlmacenPrincipal|Dicta cuanta existencia minima debe haber para MAVI.|Condiciona inventario.|Migrado|Tabla permanente consultada por cache
ArtDisponible|TABLA PERMANENTE|Empresa; Almacen; Articulo; Disponible|Existencia detallada por almacen.|Se suma contra reglas de MAVI.|Migrado|Tabla permanente consultada por cache
#DisponiblePorAlmacenP|TEMPORAL (CREATE TABLE)|Articulo VARCHAR(20); Disponible INT; Regla INT|Total de existencia de un articulo en los almacenes Principales.|Paso intermedio.|Parcialmente migrado|Logica base existe pero fuertemente acoplada a MA (UEN=1, Suc 90/0, ACEF)
#articulos|TEMPORAL (SELECT INTO)|Articulo; Nombrecorto; Familia; Linea; Marcae; existencia; rtipo; Preciocont; exclusivoweb; May; IE|Tabla depurada despues de evaluar #Listadoarticulos contra reglas de existencia.|Filtro final de existencia.|Parcialmente migrado|Logica base existe pero fuertemente acoplada a MA (UEN=1, Suc 90/0, ACEF)
ecommerceactualizarimagenes|TABLA PERMANENTE|Articulo; Estatus; Imagen|Tabla de imagenes de Magento.|Descarta articulos sin imagen procesada.|Migrado|Tabla permanente consultada por cache
SCMArtImagen|TABLA PERMANENTE|Articulo; Imagen; Valor; Orden|Tabla auxiliar de imagenes.|Join con ecommerceactualizarimagenes.|Migrado|Tabla permanente consultada por cache
#propsgeneral|TEMPORAL (SELECT INTO)|IdCatalogoPropiedad; Propiedad; AtributoMagento; AtributoType; TipoVariacion|Define atributos exportados para Magento.|Catalogo base de atributos.|Parcialmente migrado|Logica base existe pero fuertemente acoplada a MA (UEN=1, Suc 90/0, ACEF)
items_propiedad|TABLA PERMANENTE|articulo; id_fam_prop; valor_posible; valor|Valores de las propiedades asociadas al articulo.|Relacion articulo-propiedad.|Migrado|Tabla permanente consultada por cache
familia_propiedad|TABLA PERMANENTE|id; propiedad; familia; linea|Catalogo que asocia una propiedad a una Familia/Linea.|Filtra atributos aplicables.|Migrado|Tabla permanente consultada por cache
catalogo_propiedad|TABLA PERMANENTE|id; propiedad; atributoMagento; attributetype|Traduccion de propiedades a Magento.|Traduccion de atributos.|Migrado|Tabla permanente consultada por cache
catalogo_valores_posibles|TABLA PERMANENTE|id; valor|Valores discretos de las propiedades.|Traduccion de IDs a texto.|Migrado|Tabla permanente consultada por cache
#artprops|TEMPORAL (SELECT INTO)|articulo; propiedad; valor; atributoMagento; Familia; Linea; TipoVariacion|Extrae los valores de propiedad especificos para cada articulo.|Valores por articulo.|Parcialmente migrado|Logica base existe pero fuertemente acoplada a MA (UEN=1, Suc 90/0, ACEF)
eCommerceSetPropiedades|TABLA PERMANENTE|IdFamPropiedad; Familia; Linea; NombreSet; VKORG|Define que Attribute Set le toca a cada familia para MAVI.|Asocia la categoria macro.|Migrado|Tabla permanente consultada por cache
#SETprop|TEMPORAL (SELECT INTO)|Familia; Linea; nombreset|Determina el Attribute Set Code basado en eCommerceSetPropiedades.|Agrupa articulos.|Parcialmente migrado|Logica base existe pero fuertemente acoplada a MA (UEN=1, Suc 90/0, ACEF)
#AtributosAdd|TEMPORAL (SELECT INTO)|Articulo; Adicionales|Concatena en formato clave=valor todos los atributos adicionales de Magento.|String final para additional_attributes.|Parcialmente migrado|Logica base existe pero fuertemente acoplada a MA (UEN=1, Suc 90/0, ACEF)
EcommerceRelCatMagento|TABLA PERMANENTE|ClassN2Intelisis; ClassN3Virtual; Ruta|Mapeo crudo de categorias de Intelisis a Magento para MAVI.|Rutas completas.|Migrado|Tabla permanente consultada por cache
#categFinal|TEMPORAL (CREATE TABLE)|FamIntelisis VARCHAR(100); LinIntelisis VARCHAR(100); LinVirtual VARCHAR(100); Categoria VARCHAR(300)|Rutas de categoria Magento procesadas y limpias.|Asigna categorias a articulos.|Parcialmente migrado|Logica base existe pero fuertemente acoplada a MA (UEN=1, Suc 90/0, ACEF)
SDSIPCarrusel|TABLA PERMANENTE|Articulo; IdCategoria; VKORG|Asocia un articulo a carruseles para MAVI.|Aparece en carruseles de MAVI.|Migrado|Tabla permanente consultada por cache
SCSIPCategorias|TABLA PERMANENTE|IdSipCategoria; Categoria|Nombres de las categorias de los carruseles.|Se concatena en la ruta de categorias.|Migrado|Tabla permanente consultada por cache
PropreListaDFinal|TABLA PERMANENTE|Articulo; Lista; Sucursal; Precio|Precios finales desde Intelisis (Lista 0 y 90).|Fuente principal de precios base.|Migrado|Tabla permanente consultada por cache
#precioart|TEMPORAL (SELECT INTO)|articulo; precio_lista; precio_venta; porcentaje_dscto; precio_dif|Calcula precio final de venta para MAVI.|Precios finales al CSV.|Parcialmente migrado|Logica base existe pero fuertemente acoplada a MA (UEN=1, Suc 90/0, ACEF)
#TempTop10|TEMPORAL (CREATE TABLE)|Articulo VARCHAR(20); Costo MONEY; Venta MONEY; Posicion INT; Inventario MONEY|Calcula un Top 10 de articulos basado en Costo, Venta e Inventario.|Base numerica para Upsells.|Parcialmente migrado|Logica base existe pero fuertemente acoplada a MA (UEN=1, Suc 90/0, ACEF)
#ArticulosUpsell|TEMPORAL (SELECT INTO)|ArticuloBase; Upsell|Relaciona un articulo con productos mas caros de la misma linea.|String final para upsell_skus.|Parcialmente migrado|Logica base existe pero fuertemente acoplada a MA (UEN=1, Suc 90/0, ACEF)
eComerceMarketing|TABLA PERMANENTE|IdMarketing; Articulo|Tabla puente para marketing local.|Gestiona relaciones cruzadas.|Migrado|Tabla permanente consultada por cache
PrecioVisible (Bandera)|UPDATE A #temp_eComerceExportaArt|mavi_visible_prices|En MAVI existe una regla exclusiva que marca articulos donde PrecioVisible es False.|Se les oculta el precio al exportar a MAVI.|Migrado|Tabla permanente consultada por cache
#posicionamiento|TEMPORAL (SELECT INTO)|articulo; posicion|Determina el ordenamiento de los productos.|Posicion en los grids de MAVI.|Parcialmente migrado|Logica base existe pero fuertemente acoplada a MA (UEN=1, Suc 90/0, ACEF)
eComerceExportaArt|TABLA PERMANENTE|Campos Magento + StatusIntelisis|Destino final en SQL Server.|Aqui termina el SP de MAVI. MAVI NO arma configurables y NO calcula plazos crediticios en la capa C# superior.|Migrado|Tabla permanente consultada por cache
|||||Migrado|Tabla permanente consultada por cache
=== SECCION: Analisis_SP_eCommerceexportaVIU_Tablas ===||||
#temp_eComerceExportaArt|TEMPORAL (CREATE TABLE)|Created_date DATETIME; sku VARCHAR(25); attribute_set_code VARCHAR(100); product_type VARCHAR(20); categories VARCHAR(max); product_websites VARCHAR(20); name VARCHAR(max); description VARCHAR(max); weight FLOAT; product_online INT; tax_class_name VARCHAR(10); visibility VARCHAR(30); price MONEY; special_price MONEY; special_price_from_date DATETIME; special_price_to_date DATETIME; price_installments MONEY; price_twelve MONEY; price_eighteen MONEY; url_key VARCHAR(300); base_image VARCHAR(300); small_image VARCHAR(300); thumbnail_image VARCHAR(300); additional_attributes VARCHAR(max); qty INT; configurable_variations VARCHAR(100); bundle_price_type VARCHAR(20); bundle_sku_type VARCHAR(20); bundle_price_view VARCHAR(20); bundle_weight_type VARCHAR(20); bundle_values VARCHAR(max); bundle_shipment_type VARCHAR(20); meta_title VARCHAR(500); meta_keywords VARCHAR(500); meta_description VARCHAR(500); oferta INT; ahorro_cotorro INT; exclusivo_online INT; descuento INT; related_skus VARCHAR(250); crosssell_skus VARCHAR(250); upsell_skus VARCHAR(250)|Tabla temporal principal que almacena los articulos procesados con toda la estructura del CSV de exportacion para Magento/VIU.|Contiene los articulos simples listos para exportar.|Parcialmente migrado|Logica base existe pero fuertemente acoplada a MA (UEN=1, Suc 90/0, ACEF)
art|TABLA PERMANENTE|Articulo; NombreCorto; Descripcion1; Volumen; Peso; Tipo; Categoria; Familia; Linea|Tabla maestra de articulos en Intelisis.|Base de donde se extrae la mercancia inicial.|Migrado|Tabla permanente consultada por cache
sip_excluir_productos|TABLA PERMANENTE|IdExcluirProducto; TipoExclusion; VIU|Tabla que marca que articulos o marcas excluir. Se usa el filtro VIU = 1.|Filtra basura o productos no deseados.|Migrado|Tabla permanente consultada por cache
sip_productos|TABLA PERMANENTE|Articulo; VIUTV; EstatusPropiedad; EstatusFotografia; SoloSELP|Controla si el articulo ya fue fotografiado y si puede ir a Tienda Virtual de VIU.|Filtro de calidad de imagenes.|Migrado|Tabla permanente consultada por cache
excluir_familia_linea|TABLA PERMANENTE|Familia; Linea; VIU|Tabla para bloquear lineas completas de productos para VIU.|Excluye categorias.|Migrado|Tabla permanente consultada por cache
eCommerceExist|TABLA PERMANENTE|Articulo; Existencia; Almacen|Contiene existencias sincronizadas de Ecommerce.|Base de inventario.|Migrado|Tabla permanente consultada por cache
ArtLinea|TABLA PERMANENTE|Linea; Descripcion|Catalogo de lineas de productos.|Nombres de linea.|Migrado|Tabla permanente consultada por cache
#Listadoarticulos|TEMPORAL (SELECT INTO)|Articulo; Nombrecorto; Nombrelargoe; Familia; Linea; Marcae; Estatus; existencia; preciocont (Precio); Preciocred; Descripcion1; Volumetrico; rtipo (Tipo); MetaPalabras1E; MetaDescripcion1E; list3|Listado base de articulos elegibles. Se obtiene de Art con filtros para VIU.|Primera tabla del flujo. Es el universo completo de articulos.|Parcialmente migrado|Logica base existe pero fuertemente acoplada a MA (UEN=1, Suc 90/0, ACEF)
#articulosIEMay|TEMPORAL (SELECT INTO)|Articulo; familia_intelisis; linea_intelisis; IE; May|Identifica articulos con propiedades especiales: IE, MAYORISTA, OUTLET.|Se usa para determinar existencia virtual de VIU.|Parcialmente migrado|Logica base existe pero fuertemente acoplada a MA (UEN=1, Suc 90/0, ACEF)
TablaStd|TABLA PERMANENTE|TablaSt; Nombre; Valor|Parametros del sistema (Ej. DM0285AlmacenPrincipal).|Parametriza almacenes para reglas.|Migrado|Tabla permanente consultada por cache
#AlmacenesPrincipales|TEMPORAL (CREATE TABLE)|Almacen VARCHAR(10); Cantidad INT; Almacenes INT|Almacenes principales configurados en TablaStd.|Parametriza los almacenes principales.|Parcialmente migrado|Logica base existe pero fuertemente acoplada a MA (UEN=1, Suc 90/0, ACEF)
#AlmacenesSecundarios|TEMPORAL (CREATE TABLE)|Almacen VARCHAR(10); Cantidad INT; Almacenes INT|Almacenes secundarios configurados en TablaStd.|Parametriza almacenes secundarios.|Parcialmente migrado|Logica base existe pero fuertemente acoplada a MA (UEN=1, Suc 90/0, ACEF)
